Form,Strength,DrugName
Injectable/Injection,5GM/100ML;330MG/100ML,Dextrose 5% And Sodium Chloride 0.33% In Plastic Container
Injectable/Injection,5GM/100ML;450MG/100ML,Dextrose 5% And Sodium Chloride 0.45% In Plastic Container
Injectable/Injection,5GM/100ML;900MG/100ML,Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,10GM/100ML;110MG/100ML,Dextrose 10% And Sodium Chloride 0.11% In Plastic Container
Injectable/Injection,10GM/100ML;200MG/100ML,Dextrose 10% And Sodium Chloride 0.2% In Plastic Container
Injectable/Injection,10GM/100ML;330MG/100ML,Dextrose 10% And Sodium Chloride 0.33% In Plastic Container
Injectable/Injection,10GM/100ML;450MG/100ML,Dextrose 10% And Sodium Chloride 0.45% In Plastic Container
Injectable/Injection,10GM/100ML;900MG/100ML,Dextrose 10% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,3.3GM/100ML;300MG/100ML,Dextrose 3.3% And Sodium Chloride 0.3% In Plastic Container
Injectable/Injection,20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML,Lactated Ringer'S In Plastic Container
Liquid/N/A,100%,Sterile Water For Injection In Plastic Container
Injectable/Injection,10MG/100ML;2.5GM/100ML;15MG/100ML;300MG/100ML;160MG/100ML,Dextrose 2.5% In Half-Strength Lactated Ringer'S In Plastic Container
Injectable/Injection,4MG/100ML;4GM/100ML;6MG/100ML;120MG/100ML;62MG/100ML,Dextrose 4% In Modified Lactated Ringer'S In Plastic Container
Injectable/Injection,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML,Dextrose 5% In Lactated Ringer'S In Plastic Container
Injectable/Injection,450MG/100ML,Sodium Chloride 0.45% In Plastic Container
Injectable/Injection,900MG/100ML,Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,3GM/100ML,Sodium Chloride 3% In Plastic Container
Injectable/Injection,5GM/100ML,Sodium Chloride 5% In Plastic Container
Injectable/Injection,900MG/10ML,Sodium Chloride 0.9%
Injectable/Injection,10MG/VIAL,Arduan
Injectable/Injection,2MG/VIAL,Humatrope
Injectable/Injection,5MG/VIAL,Humatrope
Injectable/Injection,6MG/VIAL,Humatrope
Injectable/Injection,12MG/VIAL,Humatrope
Injectable/Injection,24MG/VIAL,Humatrope
Suppository/Vaginal,80MG,Terazol 3
Tablet/Oral,10MG,Mevacor
Tablet/Oral,20MG **Federal Register notice that product was not discontinued or withdrawn for safety or effectiveness reasons**,Mevacor
Tablet/Oral,40MG **Federal Register notice that product was not discontinued or withdrawn for safety or effectiveness reasons**,Mevacor
Tablet/Oral,10MG,Toradol
For Solution/Oral,20MEQ/PACKET,Potassium Citrate
For Solution/Oral,10MEQ/PACKET,Potassium Citrate
Tablet/Oral,100MG,Flumadine
Syrup/Oral,50MG/5ML,Flumadine
"Tablet, Delayed Release/Oral",400MG,Asacol
Tablet/Oral-21,0.035MG;0.25MG,Ortho Cyclen-21
Tablet/Oral-28,0.035MG;0.25MG,Ortho Cyclen-28
Capsule/Oral,100MG,Retrovir
Tablet/Oral,10MG,Claritin
Tablet/Oral,10MG,Claritin Hives Relief
"Aerosol, Metered/Inhalation",1.75MG/INH,Tilade
Injectable/Injection,EQ 500MG BASE/VIAL,Cytovene
Injectable/Injection,EQ 0.05MG BASE/ML,Sandostatin
Injectable/Injection,EQ 0.1MG BASE/ML,Sandostatin
Injectable/Injection,EQ 0.5MG BASE/ML,Sandostatin
Injectable/Injection,EQ 0.2MG BASE/ML,Sandostatin
Injectable/Injection,EQ 1MG BASE/ML,Sandostatin
Tablet/Oral,EQ 1MG BASE,Cardura
Tablet/Oral,EQ 2MG BASE,Cardura
Tablet/Oral,EQ 4MG BASE,Cardura
Tablet/Oral,EQ 8MG BASE,Cardura
Powder/Oral,EQ,Questran Light
Powder/Oral,EQ,Questran Light
"Tablet, Extended Release/Oral",5MG;120MG,Claritin-D
"Tablet, Extended Release/Oral",16MG;240MG,Efidac 24 Pseudoephedrine Hydrochloride/Brompheniramine Maleate
Syrup/Oral,EQ 15MG BASE/ML,Zantac
Injectable/ Injection,N/A,Nutropin
Injectable/Injection,0.14MG/ML;10MG/ML,Enlon-Plus
Injectable/Injection,0.14MG/ML;10MG/ML,Enlon-Plus
"Capsule, Delayed Rel Pellets/Oral",EQ 125MG VALPROIC ACID,Depakote
Injectable/Injection,3.5%;25GM/100ML,Aminosyn Ii 3.5% In Dextrose 25% In Plastic Container
Injectable/Injection,3.5%;5GM/100ML,Aminosyn Ii 3.5% In Dextrose 5% In Plastic Container
Injectable/Injection,4.25%;25GM/100ML,Aminosyn Ii 4.25% In Dextrose 25% In Plastic Container
Injectable/Injection,4.25%;10GM/100ML,Aminosyn Ii 4.25% In Dextrose 10% In Plastic Container
Injectable/Injection,4.25%;20GM/100ML,Aminosyn Ii 4.25% In Dextrose 20% In Plastic Container
Injectable/Injection,5%;25GM/100ML,Aminosyn Ii 5% In Dextrose 25% In Plastic Container
Injectable/Injection,3.5%;5GM/100ML;30MG/100ML;97MG/100ML;120MG/100ML;49.3MG/100ML,Aminosyn Ii 3.5% M In Dextrose 5% In Plastic Container
Injectable/Injection,4.25%;5GM/100ML;30MG/100ML;97MG/100ML;120MG/100ML;49.3MG/100ML,Aminosyn Ii 4.25% M In Dextrose 10% In Plastic Container
Injectable/Injection,4.25%;10GM/100ML;51MG/100ML;176.5MG/100ML;22.4MG/100ML;104.5MG/100ML;205MG/100ML,Aminosyn Ii 4.25% W/ Elect And Adjusted Phosphate In Dextrose 10% In Plastic Container
Injectable/Injection,3.5%;36.8MG/100ML;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML,Aminosyn Ii 3.5% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container
Injectable/Injection,4.25%;36.8MG/100ML;20GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML,Aminosyn Ii 4.25% W/ Electrolytes In Dextrose 20% W/ Calcium In Plastic Container
Injectable/Injection,4.25%;36.8MG/100ML;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML,Aminosyn Ii 4.25% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container
Injectable/Injection,5%;36.8MG/100ML;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML,Aminosyn Ii 5% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container
"Tablet, Extended Release/Oral",30MG,Procardia Xl
"Tablet, Extended Release/Oral",60MG,Procardia Xl
"Tablet, Extended Release/Oral",90MG,Procardia Xl
Injectable/Injection,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 5Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
Injectable/Injection,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 20Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
Injectable/Injection,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 30Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
Injectable/Injection,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 40Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
Injectable/Injection,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 10Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
Injectable/Injection,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 10Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
Injectable/Injection,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 15Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
Injectable/Injection,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,Potassium Chloride 20Meq In Dextrose 5% And Lactated Ringer'S In Plastic Container
Injectable/Injection,149MG/100ML;900MG/100ML,Potassium Chloride 20Meq In Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,298MG/100ML;900MG/100ML,Potassium Chloride 40Meq In Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,0.8MG/VIAL,Lutrepulse Kit
Injectable/Injection,3.2MG/VIAL,Lutrepulse Kit
Injectable/Injection,5GM/100ML;74.5MG/100ML;900MG/100ML,Potassium Chloride 5Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,5GM/100ML;74.5MG/100ML;900MG/100ML,Potassium Chloride 10Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,5GM/100ML;149MG/100ML;900MG/100ML,Potassium Chloride 5Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,5GM/100ML;149MG/100ML;900MG/100ML,Potassium Chloride 10Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,5GM/100ML;149MG/100ML;900MG/100ML,Potassium Chloride 20Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,5GM/100ML;224MG/100ML;900MG/100ML,Potassium Chloride 15Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,5GM/100ML;224MG/100ML;900MG/100ML,Potassium Chloride 30Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,5GM/100ML;298MG/100ML;900MG/100ML,Potassium Chloride 20Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,5GM/100ML;298MG/100ML;900MG/100ML,Potassium Chloride 40Meq In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container
"Tablet, Extended Release/Oral",EQ 50MG BASE,Decabid
"Tablet, Extended Release/Oral",EQ 75MG BASE,Decabid
"Tablet, Extended Release/Oral",EQ 100MG BASE,Decabid
Injectable/Injection,30MG/100ML;37MG/100ML;0.82MG/100ML;370MG/100ML;530MG/100ML;500MG/100ML;12MG/100ML,Isolyte S Ph 7.4 In Plastic Container
Tablet/Oral-28,"0.035MG,0.035MG,0.035MG;0.18MG,0.215MG,0.25MG",Ortho Tri-Cyclen
Tablet/Oral-21,"0.035MG,0.035MG,0.035MG;0.18MG,0.215MG,0.25MG",Ortho Tri-Cyclen
Injectable/Injection,15MG/ML,Toradol
Injectable/Injection,30MG/ML,Toradol
Injectable/Injection,5GM/100ML;37MG/100ML,Potassium Chloride 0.037% In Dextrose 5% In Plastic Container
Injectable/Injection,5GM/100ML;75MG/100ML,Potassium Chloride 0.075% In Dextrose 5% In Plastic Container
Injectable/Injection,5GM/100ML;110MG/100ML,Potassium Chloride 0.11% In Dextrose 5% In Plastic Container
Injectable/Injection,5GM/100ML;150MG/100ML,Potassium Chloride 0.15% In Dextrose 5% In Plastic Container
Injectable/Injection,5GM/100ML;220MG/100ML,Potassium Chloride 0.22% In Dextrose 5% In Plastic Container
Injectable/Injection,5GM/100ML;300MG/100ML,Potassium Chloride 0.3% In Dextrose 5% In Plastic Container
Solution/Drops/Ophthalmic,0.50%,Acular
Injectable/Injection,37MG/100ML;900MG/100ML,Potassium Chloride 0.037% In Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,75MG/100ML;900MG/100ML,Potassium Chloride 0.075% In Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,110MG/100ML;900MG/100ML,Potassium Chloride 0.11% In Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,150MG/100ML;900MG/100ML,Potassium Chloride 0.15% In Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,220MG/100ML;900MG/100ML,Potassium Chloride 0.22% In Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,300MG/100ML;900MG/100ML,Potassium Chloride 0.3% In Sodium Chloride 0.9% In Plastic Container
Injectable/Injection,68%,Optiray 320
Injectable/Injection,51%,Optiray 240
Injectable/Injection,34%,Optiray 160
Injectable/Injection,64%,Optiray 300
Injectable/Injection,74%,Optiray 350
Injectable/Injection,30MG/100ML;37MG/100ML;370MG/100ML;530MG/100ML;500MG/100ML,Isolyte S In Plastic Container
Injectable/Injection,3.5%;5GM/100ML;30MG/100ML;97MG/100ML;120MG/100ML;49.3MG/100ML,Aminosyn Ii 3.5% M In Dextrose 5% In Plastic Container
Injectable/Injection,4.25%;10GM/100ML;51MG/100ML;176.5MG/100ML;22.4MG/100ML;104.5MG/100ML;205MG/100ML,Aminosyn Ii 4.25% W/ Elect And Adjusted Phosphate In Dextrose 10% In Plastic Container
Injectable/Injection,4.25%;10GM/100ML,Aminosyn Ii 4.25% In Dextrose 10% In Plastic Container
Injectable/Injection,3.5%;5GM/100ML,Aminosyn Ii 3.5% In Dextrose 5% In Plastic Container
Injectable/Injection,5%;25GM/100ML,Aminosyn Ii 5% In Dextrose 25% In Plastic Container
Injectable/Injection,4.25%;20GM/100ML,Aminosyn Ii 4.25% In Dextrose 20% In Plastic Container
Injectable/Injection,4.25%;25GM/100ML,Aminosyn Ii 4.25% In Dextrose 25% In Plastic Container
Injectable/Injection,3.5%;25GM/100ML,Aminosyn Ii 3.5% In Dextrose 25% In Plastic Container
Injectable/Injection,3.5%;36.8MG/100ML;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML,Aminosyn Ii 3.5% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container
Injectable/Injection,4.25%;36.8MG/100ML;20GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML,Aminosyn Ii 4.25% W/ Electrolytes In Dextrose 20% W/ Calcium In Plastic Container
Injectable/Injection,5%;36.8MG/100ML;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML,Aminosyn Ii 5% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container
Injectable/Injection,4.25%;36.8MG/100ML;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML,Aminosyn Ii 4.25% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container
Capsule/Oral,250MG,Dipentum
"Lotion, Augmented/Topical",EQ 0.05% BASE,Diprolene
Injectable/Injection,30 UNITS/ML;70 UNITS/ML,Humulin 70/30
Injectable/Injection,30 UNITS/ML;70 UNITS/ML,Humulin 70/30 Pen
Injectable/Injection,35MG/100ML;30MG/100ML;74MG/100ML;640MG/100ML;500MG/100ML;74MG/100ML,Isolyte E In Plastic Container
Injectable/Injection,4MG/VIAL,Norditropin
Injectable/Injection,8MG/VIAL,Norditropin
"Gel, Metered/Nasal",0.5MG/INH,Nascobal
Implant/Implantation,EQ 3.6MG BASE,Zoladex
Lotion/Topical,0.10%,Cyclocort
Injectable/Injection,7.5MG/VIAL,Lupron Depot
Injectable/Injection,25MG/10ML (2.5MG/ML),Cardene
Injectable/Intravenous,20MG/200ML (0.1MG/ML),Cardene In 4.8% Dextrose In Plastic Container
Injectable/Intravenous,20MG/200ML (0.1MG/ML),Cardene In 0.86% Sodium Chloride In Plastic Container
Injectable/Intravenous,40MG/200ML (0.2MG/ML),Cardene In 0.83% Sodium Chloride In Plastic Container
Injectable/Intravenous,40MG/200ML (0.2MG/ML),Cardene In 5.0% Dextrose In Plastic Container
Tablet/Oral,200MG,Floxin
Tablet/Oral,300MG,Floxin
Tablet/Oral,400MG,Floxin
Gel/Topical,0.75%,Metrogel
"Tablet, Extended Release/Oral",16MG,Efidac 24 Chlorpheniramine Maleate
Tablet/Oral,200MG,Ethmozine
Tablet/Oral,250MG,Ethmozine
Tablet/Oral,300MG,Ethmozine
Solution/Drops/Ophthalmic,0.30%,Chibroxin
Tablet/Oral,25MG,Clozaril
Tablet/Oral,100MG,Clozaril
Tablet/Oral,50MG,Clozaril
Tablet/Oral,200MG,Clozaril
Injectable/Injection,450MG/100ML,Sodium Chloride 0.45% In Plastic Container
"Film, Extended Release/Transdermal",4MG/24HR,Testoderm
"Film, Extended Release/Transdermal",6MG/24HR,Testoderm
Injectable/Injection,1GM/VIAL,Ifex
Injectable/Injection,3GM/VIAL,Ifex
Injectable/Injection,1GM/VIAL;100MG/ML,Ifex/Mesnex Kit
Injectable/Injection,3GM/VIAL;100MG/ML,Ifex/Mesnex Kit
Injectable/Injection,6MG/VIAL,Saizen
Injectable/Injection,5MG/VIAL,Saizen
Injectable/Injection,8.8MG/VIAL,Saizen
Injectable/Injection,4MG/VIAL,Saizen
Tablet/Oral,5MG,Zocor
Tablet/Oral,10MG,Zocor
Tablet/Oral,20MG,Zocor
Tablet/Oral,40MG,Zocor
Tablet/Oral,80MG,Zocor
Tablet/Oral,200MG;30MG,Advil Cold And Sinus
Solution/Inhalation,EQ,Ventolin
Injectable/Injection,4.8MG/VIAL,Bio-Tropin
Injectable/Injection,5MG/VIAL,Zomacton
Injectable/Injection,10MG/VIAL,Zomacton
"Tablet, Extended Release/Oral",2.5MG,Minipress Xl
"Tablet, Extended Release/Oral",5MG,Minipress Xl
Solution/Nasal,0.01%,Concentraid
Tablet/Oral,5MG,Zestril
Tablet/Oral,10MG,Zestril
Tablet/Oral,20MG,Zestril
Tablet/Oral,40MG,Zestril
Tablet/Oral,2.5MG,Zestril
Tablet/Oral,30MG,Zestril
Tablet/Oral,12.5MG;20MG,Prinzide
Tablet/Oral,25MG;20MG,Prinzide
Tablet/Oral,12.5MG;10MG,Prinzide
Solution/Drops/Ophthalmic,EQ 1% BASE,Iopidine
Capsule/Oral,100MG,Prometrium
Capsule/Oral,200MG,Prometrium
Capsule/Oral,300MG,Prometrium
Suspension/Oral,100MG/5ML,Ibu
Injectable/Injection,N/A,Cardiolite
Injectable/Injection,N/A,Miraluma
"Tablet, Extended Release/Oral",EQ 100MG TARTRATE,Lopressor
"Tablet, Extended Release/Oral",EQ 200MG TARTRATE,Lopressor
"Tablet, Extended Release/Oral",EQ 300MG TARTRATE,Lopressor
"Tablet, Extended Release/Oral",EQ 400MG TARTRATE,Lopressor
Tablet/Oral,EQ 2.5MG BASE,Norvasc
Tablet/Oral,EQ 5MG BASE,Norvasc
Tablet/Oral,EQ 10MG BASE,Norvasc
"Capsule, Extended Release/Oral",40MG,Dilatrate-Sr
Sponge/Topical,4%,Pharmaseal Scrub Care
"Tablet, Delayed Release/Oral",EQ 250MG BASE,Depakote Cp
"Tablet, Delayed Release/Oral",EQ 500MG BASE,Depakote Cp
Solution/Topical,0.50%,Condylox
Lotion/Topical,0.10%,Elocon
For Solution/Oral,420GM/BOT;1.48GM/BOT;5.72GM/BOT;11.2GM/BOT,Nulytely
For Solution/Oral,420GM/BOT;1.48GM/BOT;5.72GM/BOT;11.2GM/BOT,Nulytely-Flavored
"Aerosol, Metered/Nasal",0.055MG/INH,Nasacort
Injectable/Injection,"5,000 UNITS/100ML","Heparin Sodium 12,500 Units In Sodium Chloride 0.45% In Plastic Container"
Injectable/Injection,"10,000 UNITS/100ML","Heparin Sodium 25,000 Units In Sodium Chloride 0.45% In Plastic Container"
Injectable/Injection,"5,000 UNITS/100ML","Heparin Sodium 25,000 Units In Sodium Chloride 0.9% In Plastic Container"
Injectable/Injection,"5,000 UNITS/100ML","Heparin Sodium 25,000 Units In Sodium Chloride 0.45% In Plastic Container"
Injectable/Injection,"4,000 UNITS/100ML","Heparin Sodium 20,000 Units In Dextrose 5% In Plastic Container"
Injectable/Injection,"5,000 UNITS/100ML","Heparin Sodium 25,000 Units In Dextrose 5% In Plastic Container"
Capsule/Oral,8MG;60MG,Semprex-D
Tablet/Oral,5MG;12.5MG,Kerledex
Tablet/Oral,10MG;12.5MG,Kerledex
"Capsule, Delayed Rel Pellets/Oral",20MG,Prilosec
"Capsule, Delayed Rel Pellets/Oral",40MG,Prilosec
"Capsule, Delayed Rel Pellets/Oral",10MG,Prilosec
"Film, Extended Release/Transdermal",100MCG/HR,Duragesic-100
"Film, Extended Release/Transdermal",75MCG/HR,Duragesic-75
"Film, Extended Release/Transdermal",50MCG/HR,Duragesic-50
"Film, Extended Release/Transdermal",25MCG/HR,Duragesic-25
"Film, Extended Release/Transdermal",12.5MCG/HR,Duragesic-12
"Film, Extended Release/Transdermal",37.5MCG/HR,Duragesic-37
Solution/Drops/Ophthalmic,0.25%,Betagan
Tablet/Oral,2.5MG,Proamatine
Tablet/Oral,5MG,Proamatine
Tablet/Oral,10MG,Proamatine
"Capsule, Extended Release/Oral",200MG,Oruvail
"Capsule, Extended Release/Oral",150MG,Oruvail
"Capsule, Extended Release/Oral",100MG,Oruvail
Injectable/Injection,5MG/ML,Iv Persantine
Injectable/Injection,250 UNITS/ML,Adagen
Solution/Topical,0.10%,Locoid
Capsule/Oral,10MG,Soriatane
Capsule/Oral,25MG,Soriatane
Capsule/Oral,17.5MG,Soriatane
Capsule/Oral,22.5MG,Soriatane
Sponge/Topical,4%,Bioscrub
Suspension/Topical,0.77%,Loprox
Injectable/Injection,40MG/100ML,Theophylline 0.04% And Dextrose 5% In Plastic Container
Injectable/Injection,80MG/100ML,Theophylline 0.08% And Dextrose 5% In Plastic Container
Injectable/Injection,160MG/100ML,Theophylline 0.16% And Dextrose 5% In Plastic Container
Injectable/Injection,200MG/100ML,Theophylline 0.2% And Dextrose 5% In Plastic Container
Injectable/Injection,400MG/100ML,Theophylline 0.4% And Dextrose 5% In Plastic Container
Injectable/Injection,320MG/100ML,Theophylline 0.32% And Dextrose 5% In Plastic Container
Cream/Topical,EQ 1% BASE,Oxistat
Injectable/Injection,N/A,Ceretec
Injectable/Injection,200MG/100ML,Lidocaine Hydrochloride 0.2% And Dextrose 5% In Plastic Container
Injectable/Injection,400MG/100ML,Lidocaine Hydrochloride 0.4% And Dextrose 5% In Plastic Container
Injectable/Injection,800MG/100ML,Lidocaine Hydrochloride 0.8% And Dextrose 5% In Plastic Container
For Solution/Topical,5%,Sulfamylon
Suspension/Oral,100MG/5ML,Children'S Advil
"Tablet, Extended Release/Oral",5MG,Plendil
"Tablet, Extended Release/Oral",10MG,Plendil
"Tablet, Extended Release/Oral",2.5MG,Plendil
Tablet/Oral,5MG,Zyrtec Allergy
Tablet/Oral,10MG,Zyrtec Allergy
Tablet/Oral,5MG,Zyrtec Hives Relief
Tablet/Oral,10MG,Zyrtec Hives Relief
Injectable/Injection,EQ 0.2MG BASE/ML,Supprelin
Injectable/Injection,EQ 0.5MG BASE/ML,Supprelin
Injectable/Injection,EQ 1MG BASE/ML,Supprelin
Injectable/Injection,400MG/100ML,Bretylium Tosylate In Dextrose 5% In Plastic Container
Injectable/Injection,200MG/100ML,Bretylium Tosylate In Dextrose 5% In Plastic Container
Tablet/Oral,EQ 50MG BASE,Zoloft
Tablet/Oral,EQ 100MG BASE,Zoloft
Tablet/Oral,EQ,Zoloft
Tablet/Oral,EQ,Zoloft
Tablet/Oral,EQ 25MG BASE,Zoloft
Injectable/Injection,5mCi/0.5ML,Indium In 111 Chloride
Suspension/Oral,100MG/5ML,Motrin
Injectable/Injection,5GM/100ML;30MG/100ML;37MG/100ML;370MG/100ML;530MG/100ML;500MG/100ML,Isolyte S In Dextrose 5% In Plastic Container
Injectable/Injection,5GM/100ML;30MG/100ML;97MG/100ML;220MG/100ML;140MG/100ML,Isolyte H In Dextrose 5% In Plastic Container
Suspension/Drops/Ophthalmic,EQ 0.25% BASE,Betoptic S
Injectable/Injection,400MG/40ML (10MG/ML),Cipro
Injectable/Injection,200MG/20ML (10MG/ML),Cipro
Injectable/Injection,1200MG/120ML,Cipro
Solution/Drops/Ophthalmic,0.50%,Dapiprazole Hydrochloride
Tablet/Oral,5MG,Lotensin
Tablet/Oral,10MG,Lotensin
Tablet/Oral,20MG,Lotensin
Tablet/Oral,40MG,Lotensin
Capsule/Oral,250MG,Cuprimine
Capsule/Oral,125MG,Cuprimine
Tablet/Oral,250MG,Depen
Cream/Topical,5%,Elimite
"Tablet, Extended Release/Oral",50MG;200MG,Sinemet Cr
"Tablet, Extended Release/Oral",25MG;100MG,Sinemet Cr
Injectable/Injection,200MG/100ML,Cipro In Dextrose 5% In Plastic Container
Injectable/Injection,400MG/200ML,Cipro In Dextrose 5% In Plastic Container
Injectable/Injection,200MG/100ML,Cipro In Sodium Chloride 0.9% In Plastic Container
Tablet/Oral,2MG,Imodium A-D
Injectable/Injection,2mCi/0.2ML,Indiclor
Injectable/Injection,EQ,Geref
Injectable/Injection,37MG/100ML;5GM/100ML;31MG/100ML;120MG/100ML;330MG/100ML;88MG/100ML,Isolyte R In Dextrose 5% In Plastic Container
Tablet/Oral,80MG,Betapace
Tablet/Oral,160MG,Betapace
Tablet/Oral,240MG,Betapace
Tablet/Oral,320MG,Betapace
Tablet/Oral,120MG,Betapace
Injectable/Injection,35MG/100ML;5GM/100ML;30MG/100ML;74MG/100ML;640MG/100ML;500MG/100ML;74MG/100ML,Isolyte E In Dextrose 5% In Plastic Container
Liquid/N/A,100%,Sterile Water For Injection In Plastic Container
Injectable/Injection,5GM/100ML;150MG/100ML;130MG/100ML;280MG/100ML;91MG/100ML,Isolyte M In Dextrose 5% In Plastic Container
"Tablet, Extended Release/Oral",650MG,Tylenol
"Tablet, Extended Release/Oral",650MG,Tylenol
Injectable/Injection,5GM/100ML;31MG/100ML;130MG/100ML;26MG/100ML;320MG/100ML,Isolyte P In Dextrose 5% In Plastic Container
Injectable/Injection,200MG/ML,Ornidyl
Injectable/Injection,50MG/VIAL,Paraplatin
Injectable/Injection,150MG/VIAL,Paraplatin
Injectable/Injection,450MG/VIAL,Paraplatin
Cream/Vaginal,2%,Butoconazole Nitrate
Injectable/Injection,N/A,Technescan Mag3
Injectable/Intravenous,100MG/ML,Mesnex
Tablet/Oral,EQ 5MG BASE,Accupril
Tablet/Oral,EQ 10MG BASE,Accupril
Tablet/Oral,EQ 20MG BASE,Accupril
Tablet/Oral,EQ 40MG BASE,Accupril
"Spray, Metered/Nasal",EQ 0.2MG BASE/SPRAY,Synarel
For Solution/Inhalation,300MG/VIAL,Nebupent
For Solution/Inhalation,600MG/VIAL,Nebupent
Tablet/Oral,12.5MG;20MG,Zestoretic
Tablet/Oral,25MG;20MG,Zestoretic
Tablet/Oral,12.5MG;10MG,Zestoretic
"Spray, Metered/Nasal",1MG/SPRAY,Stadol
Solution/Oral,5MG/5ML,Dilaudid
Tablet/Oral,8MG,Dilaudid
Tablet/Oral,4MG,Dilaudid
Tablet/Oral,2MG,Dilaudid
Injectable/Injection,70GM/100ML,Dextrose 70% In Plastic Container
Injectable/Injection,50GM/100ML,Dextrose 50% In Plastic Container
Implant/Implantation,36MG/IMPLANT,Norplant
Tablet/Oral,10MG,Pravachol
Tablet/Oral,20MG,Pravachol
Tablet/Oral,40MG,Pravachol
Tablet/Oral,80MG,Pravachol
Tablet/Oral,200MG;30MG,Sine-Aid Ib
Capsule/Oral,1.25MG,Altace
Capsule/Oral,2.5MG,Altace
Capsule/Oral,5MG,Altace
Capsule/Oral,10MG,Altace
Injectable/Injection,14.9MG/ML,Potassium Chloride 10Meq In Plastic Container
Injectable/Injection,29.8MG/ML,Potassium Chloride 20Meq In Plastic Container
Injectable/Injection,2.24GM/100ML,Potassium Chloride 30Meq In Plastic Container
Injectable/Injection,2.98GM/100ML,Potassium Chloride 40Meq In Plastic Container
Injectable/Injection,746MG/100ML,Potassium Chloride 10Meq In Plastic Container
Injectable/Injection,1.49GM/100ML,Potassium Chloride 20Meq In Plastic Container
Capsule/Oral,25MG,Anafranil
Capsule/Oral,50MG,Anafranil
Capsule/Oral,75MG,Anafranil
Solution/Drops/Ophthalmic,0.30%,Optipranolol
Tablet/Oral,5MG,Ambien
Tablet/Oral,10MG,Ambien
Suspension/Oral,200MG/5ML,Zovirax
Syrup/Oral,50MG/5ML,Retrovir
